country,year,gdp,meat_consumption,temperature,ghg_emission
Portugal,1996,12185.06,76.34,15.3,67633.1028
Portugal,1997,11578.44,78.31,16.27,70751.8317
Portugal,1998,12202.69,83.99,15.65,83126.729
Portugal,1999,12474.82,87.03,15.28,84722.774
Portugal,2000,11502.4,87.37,15.39,88594.191
Portugal,2001,11729.15,86.97,15.41,85398.971
Portugal,2002,12882.29,85.17,15.46,88319.252
Portugal,2003,15772.73,82.96,15.82,89900.198
Portugal,2004,18045.59,84.16,15.46,84930.561
Portugal,2005,18784.95,84.92,15.54,101594.256
Portugal,2006,19821.44,87.48,16.0,81336.945
Portugal,2007,22780.06,94.06,15.24,79399.304
Portugal,2008,24815.61,92.82,15.27,74433.765
Portugal,2009,23063.97,93.61,15.98,75492.50343
Portugal,2010,22538.65,93.34,15.68,71681.46844
Portugal,2011,23196.18,90.3,16.07,71977.88701
Portugal,2012,20577.4,88.27,15.39,72524.21851
Romania,1987,1673.84,58.02,8.66,271783.438
Romania,1988,1769.89,54.4,9.08,284585.509
Romania,1989,1817.9,55.85,9.68,278926.551
Romania,1990,1680.71,73.24,10.23,247279.3403
Romania,1991,1260.75,64.48,8.73,204626.059
Romania,1992,1102.1,58.16,9.56,186159.772
Romania,1993,1158.13,56.39,8.86,174503.319
Romania,1994,1323.1,54.3,10.61,170925.428
Romania,1995,1650.28,54.03,9.14,177197.356
Romania,1996,1633.01,50.34,8.65,181831.133
Romania,1997,1577.32,50.19,8.52,167308.766
Romania,1998,1852.47,53.9,9.18,147443.81
Romania,1999,1599.89,50.21,10.09,129620.602
Romania,2000,1659.91,47.42,10.47,132627.536
Romania,2001,1825.18,48.3,9.64,137737.591
Romania,2002,2119.88,54.24,10.39,135160.393
Romania,2003,2679.41,59.44,9.34,141128.161
Romania,2004,3494.94,53.26,9.56,139881.565
Romania,2005,4617.93,62.48,9.12,139578.1707
Romania,2006,5757.5,61.58,9.47,144382.55
Romania,2007,8360.17,61.59,10.87,141043.059
Romania,2008,10435.04,61.67,10.46,136834.935
Romania,2009,8548.12,65.56,10.47,119648.2095
Romania,2010,8209.92,57.75,9.85,117930.698
Romania,2011,9105.0,53.39,9.57,126194.41555
Romania,2012,8535.05,53.43,10.3,121762.2251
Rwanda,1970,58.53,3.95,19.22,2033.9629
Rwanda,1971,57.59,3.94,18.91,2005.1179
Rwanda,1972,61.81,3.99,19.45,2040.834
Rwanda,1973,70.8,4.0,19.54,2121.0505
Rwanda,1974,72.89,4.3,19.14,2086.8027
Rwanda,1975,131.02,4.82,19.15,2183.61
Rwanda,1976,141.53,4.7,19.28,2188.8246
Rwanda,1977,160.38,4.88,19.59,2275.6962
Rwanda,1978,188.18,4.96,19.52,2370.3457
Rwanda,1979,222.81,5.0,19.57,2388.304
Rwanda,1980,243.49,5.08,19.77,2448.6557
Rwanda,1981,264.03,5.23,19.58,2630.5502
Rwanda,1982,255.64,5.1,19.55,2727.4538
Rwanda,1983,260.01,4.9,19.97,2854.8172
Rwanda,1984,268.92,4.63,19.5,3026.5805
Rwanda,1985,279.1,4.77,19.46,3207.3185
Rwanda,1986,301.8,4.42,19.63,3202.699
Rwanda,1987,318.21,4.12,20.17,3272.0663
Rwanda,1988,337.96,4.24,19.78,3307.3324
Rwanda,1989,330.5,4.2,19.19,3475.693
Rwanda,1990,349.87,4.28,19.55,3251.96376
Rwanda,1991,269.85,4.52,19.38,3317.3907
Rwanda,1992,302.74,4.7,19.69,3365.9133
Rwanda,1993,314.75,4.86,19.69,3161.5389
Rwanda,1994,126.95,4.91,19.71,3053.5275
Rwanda,1995,221.63,4.25,19.96,3231.6846
Rwanda,1996,229.89,4.49,19.48,3420.3991
Rwanda,1997,288.41,4.45,19.96,3682.836
Rwanda,1998,285.71,4.62,19.95,5454.0444
Rwanda,1999,253.11,4.79,19.51,4837.2697
Rwanda,2000,228.64,4.43,19.75,4900.3316
Rwanda,2001,212.52,4.6,19.66,3924.0208
Rwanda,2002,207.58,4.77,19.95,4806.285
Rwanda,2003,224.73,5.2,20.09,4793.8085
Rwanda,2004,250.52,5.51,20.08,5635.3957
Rwanda,2005,303.74,5.59,20.43,4963.9625
Rwanda,2006,344.58,5.95,20.16,5021.6608
Rwanda,2007,411.0,6.12,19.76,4904.6175
Rwanda,2008,511.05,6.4,19.73,5183.7427
Rwanda,2009,549.24,6.38,20.02,5967.06193
Rwanda,2010,576.05,7.77,20.27,6547.47491
Rwanda,2011,637.63,7.83,19.77,6620.2467
Rwanda,2012,695.27,7.87,19.96,6689.9489
Samoa,1982,770.29,44.54,26.64,227.883
Samoa,1983,706.42,37.07,26.66,231.6913
Samoa,1984,685.73,43.46,26.59,255.54461
Samoa,1985,597.36,65.46,26.68,264.24532999999997
Samoa,1986,628.79,57.59,26.67,254.2973
Samoa,1987,694.03,65.26,26.59,265.12574
Samoa,1988,824.26,60.18,26.81,281.70121
Samoa,1989,758.85,63.45,26.48,277.72245
Samoa,1990,772.51,69.16,26.86,287.10672999999997
Samoa,1991,765.85,69.41,26.85,284.32374
Samoa,1992,799.46,67.91,26.76,292.98726
Samoa,1993,796.58,71.0,26.52,290.31019
Samoa,1994,1310.65,70.89,26.75,271.81762000000003
Samoa,1995,1322.32,66.36,27.04,279.85953
Samoa,1996,1460.05,68.81,26.85,288.65266
Samoa,1997,1659.09,54.05,26.71,306.32102000000003
Samoa,1998,1559.15,66.65,27.12,299.83159
Samoa,1999,1490.9,67.64,26.78,305.64793
Samoa,2000,1542.07,73.91,26.84,318.53193
Samoa,2001,1557.02,79.27,26.95,324.44327000000004
Samoa,2002,1633.04,76.52,27.24,314.98397
Samoa,2003,1909.12,79.21,27.02,314.07797999999997
Samoa,2004,2353.55,71.84,27.06,312.54342
Samoa,2005,2574.18,83.94,27.12,307.20583
Samoa,2006,2811.34,75.49,26.83,326.16138
Samoa,2007,3026.55,82.46,27.15,326.9412
Samoa,2008,3514.8,84.71,26.67,330.23679
Samoa,2009,3039.51,83.24,26.73,330.70815
Samoa,2010,3458.19,89.72,27.16,340.97767999999996
Samoa,2011,3946.17,91.93,26.72,348.88219
Samoa,2012,4237.01,105.99,26.93,356.08696000000003
Saudi Arabia,1970,921.35,10.37,25.98,78220.3308
Saudi Arabia,1971,1177.72,11.17,25.23,94020.5889
Saudi Arabia,1972,1511.69,11.68,25.27,121325.1278
Saudi Arabia,1973,2226.99,12.34,25.78,162521.6331
Saudi Arabia,1974,6437.42,16.27,25.54,171400.4395
